,nome,cpf,idade,data,endereco,estado,pais
0,Lara Casa Grande,481.765.092-30,33,08/06/1991,"Jardim Marcela da Conceição, 6
Silveira
32488-434 Siqueira / PR",Mato Grosso do Sul,Brasil
1,Luana Almeida,709.642.183-13,51,21/08/1973,"Favela Yasmin Alves, 41
Pindura Saia
32468803 Duarte / AP",Pará,Brasil
2,Natália da Paz,671.389.254-09,22,29/06/2002,"Esplanada de Correia, 7
Vitoria Da Conquista
47239-239 Gonçalves do Oeste / DF",Amapá,Brasil
3,Heloísa Rezende,713.652.894-19,55,03/11/1969,"Alameda Fonseca, 16
Nova Granada
95767-669 Pastor / MT",Paraíba,Brasil
4,Laura Novaes,567.489.132-09,37,07/03/1988,"Alameda Maria Liz Barbosa
Pirineus
22984018 Garcia / PE",Rio Grande do Sul,Brasil
5,Eduardo Lima,132.954.876-00,29,07/09/1995,"Largo Sara Câmara
Pindorama
40721671 Nogueira do Amparo / PA",Goiás,Brasil
6,Emanuel Monteiro,381.207.469-96,20,26/04/2005,"Passarela Rocha, 5
Jardim Atlântico
60053-473 Ribeiro / AP",Pernambuco,Brasil
7,Srta. Ana Sophia Duarte,497.605.318-01,29,16/08/1995,"Setor Melissa Gomes
Jardim Montanhês
52396-659 Moura / AP",Minas Gerais,Brasil
8,Davi Lucas Silveira,609.234.857-83,45,16/01/1980,"Chácara Costa, 24
Sion
23758-985 Rocha / RJ",Rondônia,Brasil
9,Enrico Pires,674.852.019-30,37,07/04/1988,"Estrada de Sampaio, 76
Vila Pilar
83410-237 Rios de Barbosa / AP",Rio Grande do Norte,Brasil
